average is 8.357142857142858
max is 11 (the warmest day)
min is 6 (the coldest day)
Thu Dec 01 00:00:00 MSK 2016 8
Fri Dec 02 00:00:00 MSK 2016 9
Sat Dec 03 00:00:00 MSK 2016 7
Sun Dec 04 00:00:00 MSK 2016 6
Mon Dec 05 00:00:00 MSK 2016 11
Tue Dec 06 00:00:00 MSK 2016 10
Wed Dec 07 00:00:00 MSK 2016 11
Thu Dec 08 00:00:00 MSK 2016 8
Fri Dec 09 00:00:00 MSK 2016 9
Sat Dec 10 00:00:00 MSK 2016 7
Sun Dec 11 00:00:00 MSK 2016 7
Mon Dec 12 00:00:00 MSK 2016 8
Tue Dec 13 00:00:00 MSK 2016 9
Wed Dec 14 00:00:00 MSK 2016 7
